DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	% prevalence
COLOR	#555555
FIELD_LABELS	mtgBCD	gbcAB	Cbl
FIELD_COLORS	#440154	#21918C	#FDE725
COLOR_MIN	#440154
COLOR_MID	#21918C
COLOR_MAX	#FDE725
LEGEND_TITLE	% prevalence
DATA
Nitrospirales	0	11.9048	4.7619
Thermodesulfovibrionales	5.55556	0	44.4444
Nitrospinales	0	0	4.16667
UBA8248	0	18.75	18.75
Desulfobacterales	74.4444	0	54.4444
Desulfatiglandales	66.6667	0	20.8333
Desulfovibrionales	0	0	55
Desulfobulbales	16.9811	0	37.7358
Dissulfuribacterales	0	0	43.75
Thermodesulfobacteriales	0	0	12.5
Desulfuromonadales	0	0	22.7273
Oligoflexales	0	23.0769	15.3846
Bacteriovoracales	0	9.52381	0
Bdellovibrionales	0	4.7619	0
SAR324	63.6364	4.54545	72.7273
Bin18	0	5.88235	0
UBA9968	0	0	0
UBA796	13.3333	50	6.66667
UBA9615	30.7692	38.4615	0
UBA7976	0	9.09091	0
Polyangiales	0	76.1905	9.52381
UBA9160	26.1905	83.3333	0
