order	phylum	class	n_genomes	mttB-cbp-metH'	gbcAB	Cob_syn_75_perc
o__Nitrosococcales	p__Pseudomonadota	c__Gammaproteobacteria	47	0	2.127659574468085	0
o__Balneolales	p__Bacteroidota	c__Rhodothermia	46	0	45.65217391304348	0
o__MPNO01	p__Pseudomonadota	c__Alphaproteobacteria	46	2.1739130434782608	91.30434782608695	65.21739130434783
o__Rickettsiales	p__Pseudomonadota	c__Alphaproteobacteria	46	0	0	0
o__Pseudomonadales_A	p__Pseudomonadota	c__Gammaproteobacteria	45	0	11.11111111111111	0
o__PS1	p__Pseudomonadota	c__Gammaproteobacteria	44	40.909090909090914	43.18181818181818	0
o__Nitrospirales	p__Nitrospirota	c__Nitrospiria	42	0	11.904761904761903	4.761904761904762
o__S36-B12	p__Actinomycetota	c__Actinomycetes	42	54.761904761904766	2.380952380952381	0
o__UBA9160	p__Myxococcota_A	c__UBA9160	42	26.190476190476193	83.33333333333334	0
o__Caldilineales	p__Chloroflexota	c__Anaerolineae	41	12.195121951219512	53.65853658536586	0
o__Desulfovibrionales	p__Desulfobacterota	c__Desulfovibrionia	40	0	0	55.00000000000001
o__UBA8231	p__Latescibacterota	c__UBA2968	38	5.263157894736842	7.894736842105263	0
o__HK1	p__Pseudomonadota	c__Gammaproteobacteria	37	89.1891891891892	70.27027027027027	59.45945945945946
o__Ignavibacteriales	p__Bacteroidota	c__Ignavibacteria	35	2.857142857142857	2.857142857142857	0
o__UBA2968	p__Latescibacterota	c__UBA2968	35	5.714285714285714	0	0
o__UBA8366	p__Pseudomonadota	c__Alphaproteobacteria	35	31.428571428571427	65.71428571428571	85.71428571428571
o__Nanopelagicales	p__Actinomycetota	c__Actinomycetes	34	14.705882352941178	0	0
o__UBA2979	p__Chloroflexota	c__Dehalococcoidia	34	2.941176470588235	0	0
o__Granulosicoccales	p__Pseudomonadota	c__Gammaproteobacteria	33	90.9090909090909	81.81818181818183	6.0606060606060606
o__Palauibacterales	p__Gemmatimonadota	c__Gemmatimonadetes	33	3.0303030303030303	0	0
o__Sedimentisphaerales	p__Planctomycetota	c__Phycisphaerae	32	46.875	3.125	3.125
o__Thiomicrospirales	p__Pseudomonadota	c__Gammaproteobacteria	32	0	0	0
o__UBA2963	p__Chloroflexota	c__Dehalococcoidia	32	0	18.75	0
o__Chlamydiales	p__Chlamydiota	c__Chlamydiia	31	0	0	0
o__Marinacidobacterales	p__Acidobacteriota	c__Vicinamibacteria	31	3.225806451612903	80.64516129032258	0
o__Phormidesmiales	p__Cyanobacteriota	c__Cyanobacteriia	30	0	63.33333333333333	86.66666666666667
o__RKRQ01	p__Desulfobacterota_D	c__UBA1144	30	0	0	0
o__SZUA-6	p__Spirochaetota	c__Spirochaetia	30	16.666666666666664	20	0
o__UBA796	p__Myxococcota	c__UBA796	30	13.333333333333334	50	6.666666666666667
o__JAAXHH01	p__JAAXHH01	c__JAAXHH01	29	0	100	0
o__UBA4575	p__Pseudomonadota	c__Gammaproteobacteria	29	0	17.24137931034483	0
o__Streptomycetales	p__Actinomycetota	c__Actinomycetes	28	0	28.57142857142857	85.71428571428571
o__UBA11872	p__Chloroflexota	c__UBA11872	28	3.571428571428571	17.857142857142858	0
o__UBA828	p__Pseudomonadota	c__Alphaproteobacteria	28	71.42857142857143	53.57142857142857	89.28571428571429
o__Actinomarinales	p__Actinomycetota	c__Acidimicrobiia	27	0	0	0
o__Bin95	p__Pseudomonadota	c__Alphaproteobacteria	27	0	92.5925925925926	77.77777777777779
o__Porisulfidales	p__Pseudomonadota	c__Gammaproteobacteria	27	0	3.7037037037037033	0
o__Propionibacteriales	p__Actinomycetota	c__Actinomycetes	27	7.4074074074074066	18.51851851851852	74.07407407407408
o__TMED127	p__Pseudomonadota	c__Alphaproteobacteria	27	0	0	3.7037037037037033
o__Deinococcales	p__Deinococcota	c__Deinococci	26	0	3.8461538461538463	11.538461538461538
o__Oligoflexales	p__Bdellovibrionota	c__Oligoflexia	26	0	23.076923076923077	15.384615384615385
o__Rariloculales	p__Pseudomonadota	c__Gammaproteobacteria	26	42.30769230769231	7.6923076923076925	0
o__Chlorobiales	p__Bacteroidota	c__Chlorobiia	25	0	0	60
o__Dehalococcoidales	p__Chloroflexota	c__Dehalococcoidia	25	48	0	0
o__Lactobacillales	p__Bacillota	c__Bacilli	25	0	0	0
o__Tepidiformales	p__Chloroflexota	c__Dehalococcoidia	25	0	4	0
o__Desulfatiglandales	p__Desulfobacterota	c__DSM-4660	24	66.66666666666666	0	20.833333333333336
o__Nitrospinales	p__Nitrospinota	c__Nitrospinia	24	0	0	4.166666666666666
o__MED-G09	p__Pseudomonadota	c__Alphaproteobacteria	23	0	0	0
o__Desulfuromonadales	p__Desulfobacterota	c__Desulfuromonadia	22	0	0	22.727272727272727
o__Foliamicales	p__Pseudomonadota	c__Gammaproteobacteria	22	77.27272727272727	9.090909090909092	0
o__GCA-001735895	p__Pseudomonadota	c__Gammaproteobacteria	22	59.09090909090909	31.818181818181817	13.636363636363635
o__Legionellales	p__Pseudomonadota	c__Gammaproteobacteria	22	0	27.27272727272727	0
